Ag,231.703,0.04
Ag,214.561,0.05
Ag,232.495,0.05
Ag,232.025,0.06
Ag,233.137,0.06
Ag,211.382,0.07
Ag,224.875,0.09
Ag,241.319,0.1
Ag,243.778,0.1
Ag,224.641,0.15
Ag,338.289,0.97
Ag,328.068,1
Al,256.798,0.02
Al,257.509,0.02
Al,185.472,0.1
Al,186.279,0.1
Al,308.215,0.1
Al,309.271,0.15
Al,394.401,1
Al,396.152,1
As,289.871,0.07
As,274.5,0.2
As,286.044,0.32
As,189.042,0.35
As,193.759,0.35
As,278.022,0.45
As,228.812,0.8
As,234.984,0.8
Au,197.819,0.45
Au,201.205,0.28
Au,208.209,0.45
Au,211.067,0.4
Au,242.795,1
Au,267.595,0.8
Au,479.258,0.95
Au,523.026,0.33
Au,583.737,0.22
B,208.957,0.15
B,249.677,0.6
B,249.772,1
Be,234.861,0.14
Be,265.061,0.08
Be,313.041,1
Be,332.134,0.1
C,193.085,1
C,247.86,0.3
Ca,393.366,1
Ca,396.847,0.7
Ca,422.673,0.3
Ca,430.253,0.12
Ca,445.478,0.12
Cd,340.365,0.11
Cd,643.847,0.12
Cd,214.441,0.2
Cd,226.502,0.2
Cd,228.802,0.2
Cd,346.62,0.22
Cd,361.051,0.34
Cd,467.815,0.4
Cd,479.991,0.95
Cd,508.582,1
Co,232.61,0.35
Co,236.38,0.4
Co,237.863,0.45
Co,230.786,0.5
Co,228.616,0.65
Co,238.892,0.65
Co,258.035,0.2
Co,340.515,0.38
Co,344.91,0.2
Co,345.35,0.4
Co,350.265,0.3
Cr,206.542,0.07
Cr,206.149,0.08
Cr,205.552,0.12
Cr,284.984,0.12
Cr,398.391,0.12
Cr,399.112,0.12
Cr,284.325,0.18
Cr,397.666,0.18
Cr,283.563,0.2
Cr,396.369,0.2
Cr,267.716,0.4
Cr,428.972,0.8
Cr,427.48,0.98
Cr,357.869,1
Cr,359.349,1
Cr,360.533,1
Cr,425.435,1
Cu,219.25,0.18
Cu,224.262,0.17
Cu,224.7,0.34
Cu,324.754,1
Cu,327.396,0.6
Fe,238.204,1
Fe,239.563,0.9
Fe,259.837,0.5
Fe,259.94,0.8
Fe,273.955,0.4
Fe,274.932,0.5
Fe,275.57,0.4
Fe,361.877,0.4
Fe,363.146,0.35
Fe,364.784,0.32
Fe,404.581,0.55
Fe,406.359,0.25
Fe,407.173,0.22
H,486.135,0.04
H,656.279,1
Hf,355.27,0.3
Hf,347.928,0.7
Hf,356.166,0.7
Hf,353.554,0.75
Hf,356.904,0.85
Hf,350.523,1
Hf,264.141,0.5
Hf,264.729,0.3
Hf,364.436,0.55
Hf,277.4,0.5
Hf,282.022,0.25
Hf,371.928,0.5
Hf,310.912,0.25
Hf,339.98,1
Hf,201.277,0.1
Hf,202.818,0.12
Hf,227.716,0.33
Hf,239.383,0.55
Hf,240.542,0.35
Hf,263.871,0.35
In,325.61,0.47
In,303.935,0.09
In,451.13,1
Li,610.364,0.4
Li,670.79,1
Mg,516.7352,0.3
Mg,517.268,0.7
Mg,279.8,0.1
Mg,279.552,0.3
Mg,280.27,0.25
Mg,285.215,0.15
Mg,518.36,1
Mg,383.829,0.38
Mg,383.23,0.28
Mg,382.925,0.15
Mn,261.815,0.06
Mn,262.561,0.07
Mn,261.02,0.08
Mn,280.106,0.08
Mn,383.436,0.09
Mn,279.827,0.1
Mn,348.867,0.1
Mn,348.29,0.12
Mn,382.251,0.12
Mn,279.482,0.13
Mn,380.672,0.14
Mn,404.136,0.16
Mn,346.031,0.18
Mn,293.931,0.2
Mn,347.403,0.2
Mn,353.212,0.2
Mn,403.449,0.21
Mn,294.921,0.25
Mn,354.78,0.25
Mn,260.568,0.26
Mn,259.372,0.27
Mn,344.198,0.28
Mn,356.949,0.28
Mn,403.307,0.28
Mn,257.61,0.3
Mn,403.076,0.3
Mn,475.404,0.74
Mn,476.238,0.81
Mn,478.342,0.89
Mn,482.352,1
Mn,293.305,0.18
Mo,281.625,0.36
Mo,317,0.18
Mo,379.885,1
Mo,386.39,0.8
Na,588.995,1
Na,589.592,0.8
Nb,309.418,1
Nb,313.079,0.8
Nb,316.34,0.6
Nb,358.027,0.5
Nb,405.894,1
Nb,407.973,0.75
Nb,410.093,0.6
Nb,412.381,0.33
Ni,216.555,0.25
Ni,217.467,0.22
Ni,221.648,0.4
Ni,227.021,0.2
Ni,239.452,0.23
Ni,241.613,0.17
Ni,300.249,0.25
Ni,301.2,0.2
Ni,310.155,0.25
Ni,338.057,0.35
Ni,339.299,0.3
Ni,341.476,0.8
Ni,344.626,0.4
Ni,345.847,0.35
Ni,346.165,0.5
Ni,349.296,0.38
Ni,351.505,0.64
Ni,352.471,1
Ni,356.637,0.4
Ni,361.939,0.61
P,185.889,0.33
P,213.618,1
P,214.915,0.7
P,253.56,0.4
P,255.326,0.2
Pb,217,0.17
Pb,220.353,0.43
Pb,261.38,0.24
Pb,280.199,0.24
Pb,283.305,0.15
Pb,357.273,0.38
Pb,363.957,0.65
Pb,368.346,0.85
Pb,373.993,0.35
Pb,405.65,1
Pb,438.646,0.24
Pb,500.542,0.14
Pb,560.885,0.4
Pd,223.159,0.22
Pd,229.652,0.4
Pd,248.891,0.25
Pd,324.7,0.46
Pd,340.458,1
Pd,342.122,0.55
Pd,343.343,0.2
Pd,344.139,0.26
Pd,346.074,0.2
Pd,348.112,0.35
Pd,351.694,0.33
Pd,355.308,0.55
Pd,360.967,0.65
Pd,363.469,0.72
Re,221.426,0.95
Re,227.525,1
Re,345.188,0.25
Re,346.046,0.1
Re,346.473,0.375
Re,527.095,0.25
Se,196.125,1
Si,251.611,1
Si,288.158,1
Sm,318.701,0.3
Sm,330.639,1
Sm,356.827,1
Sm,367.084,0.9
Sm,373.92,1
